pt_cycle_day,partition_assignment,n_cells,load_norm_fac,raw_partition_counts,norm_cell_num,norm_partition_counts,norm_pct
11_1_minus7,Naive/MemT,1465,0.9159324167312161,18182,1341.8409905112314,18544.879104750093,7.235641618000797
11_1_plus1,Naive/MemT,673,1.112649964714185,18182,748.8134262526465,18544.879104750093,4.03784474421753
15_1_minus7,Naive/MemT,3060,1.338012729844413,18182,4094.318953323904,18544.879104750093,22.0778950900531
15_1_plus1,Naive/MemT,2396,0.9926285414480588,18182,2378.337985309549,18544.879104750093,12.824769424894015
17_1_minus7,Naive/MemT,2914,0.6928189541526293,18182,2018.8744324007616,18544.879104750093,10.88642541694244
17_1_plus1,Naive/MemT,1440,1.4043571852731591,18182,2022.2743467933492,18544.879104750093,10.90475885752937
22_1_minus7,Naive/MemT,3474,0.9541809562235223,18182,3314.8246419205166,18544.879104750093,17.874609066992818
22_1_plus1,Naive/MemT,2760,0.9513022928399034,18182,2625.5943282381336,18544.879104750093,14.158055781369924
11_1_minus7,MDSC,1507,0.9159324167312161,4107,1380.3101520139426,4290.968152304765,32.1678023005729
11_1_plus1,MDSC,2297,1.112649964714185,4107,2555.756968948483,4290.968152304765,59.56131293064328
15_1_minus7,MDSC,76,1.338012729844413,4107,101.68896746817539,4290.968152304765,2.369837385382509
15_1_plus1,MDSC,49,0.9926285414480588,4107,48.63879853095488,4290.968152304765,1.1335157196361387
17_1_minus7,MDSC,20,0.6928189541526293,4107,13.856379083052586,4290.968152304765,0.32291964403441326
17_1_plus1,MDSC,89,1.4043571852731591,4107,124.98778948931115,4290.968152304765,2.9128109334061993
22_1_minus7,MDSC,31,0.9541809562235223,4107,29.579609642929192,4290.968152304765,0.6893458211066281
22_1_plus1,MDSC,38,0.9513022928399034,4107,36.14948712791633,4290.968152304765,0.8424552652179373
11_1_minus7,B,28,0.9159324167312161,1135,25.64610766847405,1234.856585521202,2.0768490826527413
11_1_plus1,B,44,1.112649964714185,1135,48.95659844742414,1234.856585521202,3.964557424841427
15_1_minus7,B,102,1.338012729844413,1135,136.47729844413013,1234.856585521202,11.052076819635413
15_1_plus1,B,473,0.9926285414480588,1135,469.51330010493183,1234.856585521202,38.02168653510173
17_1_minus7,B,108,0.6928189541526293,1135,74.82444704848396,1234.856585521202,6.059363324114471
17_1_plus1,B,260,1.4043571852731591,1135,365.13286817102136,1234.856585521202,29.568848111775498
22_1_minus7,B,52,0.9541809562235223,1135,49.61740972362316,1234.856585521202,4.018070624993339
22_1_plus1,B,68,0.9513022928399034,1135,64.68855591311343,1234.856585521202,5.238548076885382
11_1_minus7,CD16+ Mono,78,0.9159324167312161,220,71.44272850503485,222.590534696563,32.09603166748581
11_1_plus1,CD16+ Mono,60,1.112649964714185,220,66.7589978828511,222.590534696563,29.99184038703957
15_1_minus7,CD16+ Mono,1,1.338012729844413,220,1.338012729844413,222.590534696563,0.6011094459467476
15_1_plus1,CD16+ Mono,54,0.9926285414480588,220,53.601941238195174,222.590534696563,24.080961623667296
17_1_minus7,CD16+ Mono,10,0.6928189541526293,220,6.928189541526293,222.590534696563,3.112526573050759
17_1_plus1,CD16+ Mono,14,1.4043571852731591,220,19.661000593824227,222.590534696563,8.83281071256073
22_1_minus7,CD16+ Mono,2,0.9541809562235223,220,1.9083619124470446,222.590534696563,0.8573418968818854
22_1_plus1,CD16+ Mono,1,0.9513022928399034,220,0.9513022928399034,222.590534696563,0.42737769336720693
11_1_minus7,DC,19,0.9159324167312161,57,17.402715917893104,57.49969774151204,30.265751997734718
11_1_plus1,DC,27,1.112649964714185,57,30.041549047282995,57.49969774151204,52.2464468984407
15_1_plus1,DC,1,0.9926285414480588,57,0.9926285414480588,57.49969774151204,1.7263195815574321
17_1_minus7,DC,7,0.6928189541526293,57,4.8497326790684046,57.49969774151204,8.43436203938013
17_1_plus1,DC,3,1.4043571852731591,57,4.213071555819477,57.49969774151204,7.327119482887021
11_1_minus7,Sen. Tc/NK,47,0.9159324167312161,94,43.048823586367156,100.62097123007297,42.78315251791268
11_1_plus1,Sen. Tc/NK,18,1.112649964714185,94,20.02769936485533,100.62097123007297,19.904100626360858
15_1_plus1,Sen. Tc/NK,6,0.9926285414480588,94,5.955771248688353,100.62097123007297,5.9190158630752006
17_1_minus7,Sen. Tc/NK,1,0.6928189541526293,94,0.6928189541526293,100.62097123007297,0.6885432983631984
17_1_plus1,Sen. Tc/NK,22,1.4043571852731591,94,30.8958580760095,100.62097123007297,30.705187694288067
11_1_minus7,Tc/NK,1900,0.9159324167312161,13360,1740.2715917893106,12711.132402972837,13.69092490439563
11_1_plus1,Tc/NK,979,1.112649964714185,13360,1089.2843154551872,12711.132402972837,8.56953008530089
15_1_minus7,Tc/NK,286,1.338012729844413,13360,382.67164073550214,12711.132402972837,3.0105235993451234
15_1_plus1,Tc/NK,1745,0.9926285414480588,13360,1732.1368048268625,12711.132402972837,13.626927561715558
17_1_minus7,Tc/NK,3618,0.6928189541526293,13360,2506.6189761242126,12711.132402972837,19.71987150049647
17_1_plus1,Tc/NK,1456,1.4043571852731591,13360,2044.7440617577197,12711.132402972837,16.086246267716493
22_1_minus7,Tc/NK,1323,0.9541809562235223,13360,1262.38140508372,12711.132402972837,9.93130560726815
22_1_plus1,Tc/NK,2053,0.9513022928399034,13360,1953.0236072003217,12711.132402972837,15.364670473761684
11_1_minus7,Cycling,18,0.9159324167312161,103,16.486783501161888,99.00870862725256,16.651851872173427
11_1_plus1,Cycling,9,1.112649964714185,103,10.013849682427665,99.00870862725256,10.114109982110515
15_1_minus7,Cycling,6,1.338012729844413,103,8.028076379066478,99.00870862725256,8.108454791881528
15_1_plus1,Cycling,10,0.9926285414480588,103,9.926285414480589,99.00870862725256,10.025669006401259
17_1_minus7,Cycling,17,0.6928189541526293,103,11.777922220594698,99.00870862725256,11.895844702849478
17_1_plus1,Cycling,4,1.4043571852731591,103,5.6174287410926365,99.00870862725256,5.673671355760331
22_1_minus7,Cycling,20,0.9541809562235223,103,19.083619124470445,99.00870862725256,19.27468743816905
22_1_plus1,Cycling,19,0.9513022928399034,103,18.074743563958165,99.00870862725256,18.25571085065442
15_1_minus7,PC,2,1.338012729844413,36,2.676025459688826,33.094131203609344,8.086102769173076
15_1_plus1,PC,4,0.9926285414480588,36,3.970514165792235,33.094131203609344,11.99763831648555
17_1_minus7,PC,10,0.6928189541526293,36,6.928189541526293,33.094131203609344,20.93479807311178
17_1_plus1,PC,1,1.4043571852731591,36,1.4043571852731591,33.094131203609344,4.243523350508732
22_1_minus7,PC,14,0.9541809562235223,36,13.358533387129311,33.094131203609344,40.36526387395355
22_1_plus1,PC,5,0.9513022928399034,36,4.756511464199517,33.094131203609344,14.372673616767306
11_1_minus7,Plt,87,0.9159324167312161,311,79.68612025561579,322.1447414504675,24.73612323976681
11_1_plus1,Plt,137,1.112649964714185,311,152.43304516584334,322.1447414504675,47.31818513613118
15_1_minus7,Plt,2,1.338012729844413,311,2.676025459688826,322.1447414504675,0.8306904056977406
15_1_plus1,Plt,24,0.9926285414480588,311,23.823084994753412,322.1447414504675,7.3951494249104215
17_1_minus7,Plt,14,0.6928189541526293,311,9.699465358136809,322.1447414504675,3.0109028986363833
17_1_plus1,Plt,20,1.4043571852731591,311,28.087143705463184,322.1447414504675,8.718796271204017
22_1_minus7,Plt,19,0.9541809562235223,311,18.129438168246924,322.1447414504675,5.627730592968403
22_1_plus1,Plt,8,0.9513022928399034,311,7.610418342719227,322.1447414504675,2.3624220306850465
11_1_minus7,HSPC,12,0.9159324167312161,69,10.991189000774593,62.35028577397582,17.628129309011396
11_1_plus1,HSPC,7,1.112649964714185,69,7.788549752999295,62.35028577397582,12.491602334002664
15_1_plus1,HSPC,3,0.9926285414480588,69,2.9778856243441765,62.35028577397582,4.776057699461429
17_1_minus7,HSPC,30,0.6928189541526293,69,20.784568624578878,62.35028577397582,33.33516176641821
17_1_plus1,HSPC,8,1.4043571852731591,69,11.234857482185273,62.35028577397582,18.01893502607578
22_1_minus7,HSPC,4,0.9541809562235223,69,3.816723824894089,62.35028577397582,6.1214215420439
22_1_plus1,HSPC,5,0.9513022928399034,69,4.756511464199517,62.35028577397582,7.628692322986627
11_1_minus7,RBC,3,0.9159324167312161,165,2.7477972501936483,159.8546837276518,1.7189344635501174
17_1_minus7,RBC,78,0.6928189541526293,165,54.03987842390509,159.8546837276518,33.805627188236855
17_1_plus1,RBC,51,1.4043571852731591,165,71.62221644893111,159.8546837276518,44.804577994696466
22_1_minus7,RBC,18,0.9541809562235223,165,17.1752572120234,159.8546837276518,10.744294012232567
22_1_plus1,RBC,15,0.9513022928399034,165,14.269534392598551,159.8546837276518,8.926566341283996
